url,label
http://ylaohamw.account.psljgkrc.net/login/verify,1
https://microsoft.com/questions/tagged/python,0
https://microsoft.com,0
http://signin.nhigkhtn-secure.org/account/update,1
http://nipbnkap.com/secure@fbcvmivx.com,1
https://wikipedia.org,0
https://stackoverflow.com/docs,0
http://ubyfcowi.info/secure@nmytzdyn.com,1
https://google.com/wiki/Python,0
https://apple.com/search?q=python,0
https://microsoft.com,0
http://amazon-qdkmmqbs.xyz/ctbzhujl?redirect=true&token=unlpdjhqjatojjwt,1
https://apple.com/about,0
https://apple.com,0
http://paypal.rjqfkjua-secure.xyz/account/update,1
https://microsoft.com/questions/tagged/python,0
https://github.com/wiki/Python,0
https://stackoverflow.com/search?q=python,0
http://account.vbajantx-secure.net/account/update,1
http://sgstmjxn.org/login@fjadlefw.com,1
https://microsoft.com/about,0
http://136.44.229.128/ebay,1
http://account-cjvpcrky.com/zmlvgbgt?redirect=true&token=nurpzozjhcucqyxh,1
http://qiwiyizz.secure.wuzzkped.xyz/login/verify,1
https://wikipedia.org,0
https://apple.com/wiki/Python,0
http://252.70.100.201/secure,1
https://microsoft.com/about,0
http://verify-fjddfsjj.com/wnxdskcm?redirect=true&token=hjlptemdrwurxare,1
https://microsoft.com/docs,0
https://microsoft.com/search?q=python,0
https://github.com/docs,0
https://google.com/wiki/Python,0
http://login-krgtojuh.org/cuozytbx?redirect=true&token=canywxxrxlufhhxo,1
http://paypal-hdtvypkw.net/exdsjjbg?redirect=true&token=dgsczddabcejvbzz,1
http://rsqvwcrm.net/update@alihbfod.com,1
https://google.com/wiki/Python,0
http://paypal.gsevakfb-secure.net/account/update,1
http://login-iklhmeow.net/ppfxvymh?redirect=true&token=tmdktilrcfcmdlkw,1
https://apple.com/docs,0
http://168.130.67.238/signin,1
https://github.com/about,0
http://login-dpdpfvyw.org/yowthiiu?redirect=true&token=nojemhecikqhosbw,1
http://ebay-iovqhosi.net/avszcaws?redirect=true&token=pltibprprslrxitp,1
http://signin-idamnedz.org/yqyxkgxy?redirect=true&token=rkefbndsyyfvpzhc,1
https://wikipedia.org/docs,0
https://microsoft.com/wiki/Python,0
https://apple.com,0
http://ilrkadau.update.zegaarsw.org/login/verify,1
http://95.183.15.200/paypal,1
http://tlooagon.xyz/verify@ahrcmhdz.com,1
http://ncpmadmm.account.onymvmzv.org/login/verify,1
https://apple.com,0
https://google.com/search?q=python,0
https://microsoft.com/search?q=python,0
http://amazon.nnvnbyzb-secure.xyz/account/update,1
https://github.com/wiki/Python,0
https://google.com/questions/tagged/python,0
https://github.com,0
http://login-ucfjsktv.xyz/qxypvlmn?redirect=true&token=xtrtaiwahqubbkby,1
http://signin-yabbrify.net/qgytrmpx?redirect=true&token=rzcxzkbenhcktxom,1
http://update.bmxxfwqe-secure.info/account/update,1
http://ksnwecss.login.oaxyzjfg.info/login/verify,1
http://231.188.119.64/paypal,1
https://google.com,0
http://account-rxclyhnp.xyz/vysxoatb?redirect=true&token=uyntthgjldsmudnn,1
https://wikipedia.org/questions/tagged/python,0
http://115.46.30.255/ebay,1
https://microsoft.com/search?q=python,0
http://sgwavfnx.ebay.kwuubbqo.info/login/verify,1
https://apple.com/about,0
http://mzrffpvm.signin.jixbsmkh.org/login/verify,1
https://google.com,0
https://apple.com/docs,0
https://wikipedia.org/search?q=python,0
https://microsoft.com,0
